代碼: 700123, 名稱: 昇達科國票54購02, 市場: 上櫃
代碼: 700124, 名稱: 昇達科國票57購01, 市場: 上櫃
代碼: 700125, 名稱: 長聖國票55購01, 市場: 上櫃
代碼: 700126, 名稱: 威剛國票61購01, 市場: 上櫃
代碼: 700127, 名稱: 神盾國票56購02, 市場: 上櫃
代碼: 700128, 名稱: 博智國票55購02, 市場: 上櫃
代碼: 700129, 名稱: 智冠國票57購01, 市場: 上櫃
代碼: 700130, 名稱: 雍智國票55購01, 市場: 上櫃
代碼: 700131, 名稱: 雷科國票54購01, 市場: 上櫃
代碼: 700132, 名稱: 緯軟國票57購01, 市場: 上櫃
代碼: 700133, 名稱: 鴻呈國票57購01, 市場: 上櫃
代碼: 700134, 名稱: 雙鴻國票55購01, 市場: 上櫃
代碼: 700135, 名稱: 穩得國票55購02, 市場: 上櫃
代碼: 700136, 名稱: 旺矽元富54購04, 市場: 上櫃
代碼: 700137, 名稱: 旺矽元富55購01, 市場: 上櫃
代碼: 700138, 名稱: 擎邦元富57購01, 市場: 上櫃
代碼: 700139, 名稱: M31永豐55購01, 市場: 上櫃
代碼: 700140, 名稱: 東洋永豐54購01, 市場: 上櫃
代碼: 700141, 名稱: 中光電凱基55購02, 市場: 上櫃
代碼: 700142, 名稱: 五福凱基56購01, 市場: 上櫃
代碼: 700143, 名稱: 台燿凱基58購04, 市場: 上櫃
代碼: 700144, 名稱: 宏觀凱基56購01, 市場: 上櫃
代碼: 700145, 名稱: 宜鼎凱基54購06, 市場: 上櫃
代碼: 700146, 名稱: 東洋凱基56購01, 市場: 上櫃
代碼: 700147, 名稱: 神盾凱基54購01, 市場: 上櫃
代碼: 700148, 名稱: 晶宏凱基54購01, 市場: 上櫃
代碼: 700149, 名稱: 萬潤凱基55購02, 市場: 上櫃
代碼: 700150, 名稱: 綠界*凱基55購01, 市場: 上櫃
代碼: 700151, 名稱: 雙鴻凱基55購04, 市場: 上櫃
代碼: 700152, 名稱: M31元大54購03, 市場: 上櫃
代碼: 700153, 名稱: M31元大56購02, 市場: 上櫃
代碼: 700154, 名稱: 中光電元大57購02, 市場: 上櫃
代碼: 700155, 名稱: 中光電元大5A購02, 市場: 上櫃
代碼: 700156, 名稱: 宜鼎元大54購12, 市場: 上櫃
代碼: 700157, 名稱: 宜鼎元大56購01, 市場: 上櫃
代碼: 700158, 名稱: 威剛元大54購16, 市場: 上櫃
代碼: 700159, 名稱: 威剛元大54購17, 市場: 上櫃
代碼: 700160, 名稱: 威剛元大54購18, 市場: 上櫃
代碼: 700161, 名稱: 威剛元大54購19, 市場: 上櫃
代碼: 700162, 名稱: 威剛元大54購20, 市場: 上櫃
代碼: 700163, 名稱: 威剛元大55購01, 市場: 上櫃
代碼: 700164, 名稱: 威剛元大56購01, 市場: 上櫃
代碼: 700165, 名稱: 原相元大54購02, 市場: 上櫃
代碼: 700166, 名稱: 鈊象元大54購06, 市場: 上櫃
代碼: 700167, 名稱: 鈊象元大54購07, 市場: 上櫃
代碼: 700168, 名稱: 萬潤元大54購03, 市場: 上櫃
代碼: 700169, 名稱: 萬潤元大54購04, 市場: 上櫃
代碼: 700170, 名稱: 廣明元大56購01, 市場: 上櫃
代碼: 700171, 名稱: 廣明元大57購02, 市場: 上櫃
代碼: 700172, 名稱: 雙鴻元大54購18, 市場: 上櫃
代碼: 700173, 名稱: 雙鴻元大5A購02, 市場: 上櫃
代碼: 700174, 名稱: 譜瑞元大54購16, 市場: 上櫃
代碼: 700175, 名稱: M31群益54購01, 市場: 上櫃
代碼: 700176, 名稱: 中光電群益5A購01, 市場: 上櫃
代碼: 700177, 名稱: 台燿群益54購01, 市場: 上櫃
代碼: 700178, 名稱: 伯特光群益55購01, 市場: 上櫃
代碼: 700179, 名稱: 旺矽群益57購04, 市場: 上櫃
代碼: 700180, 名稱: 東洋群益56購01, 市場: 上櫃
代碼: 700181, 名稱: 家登群益54購01, 市場: 上櫃
代碼: 700182, 名稱: 鈊象群益54購04, 市場: 上櫃
代碼: 700183, 名稱: 龍巖群益55購01, 市場: 上櫃
代碼: 700184, 名稱: M31統一58購03, 市場: 上櫃
代碼: 700185, 名稱: 中光電統一59購04, 市場: 上櫃
代碼: 700186, 名稱: 中光電統一6A購01, 市場: 上櫃
代碼: 700187, 名稱: 中美晶統一58購02, 市場: 上櫃
代碼: 700188, 名稱: 中美晶統一5A購02, 市場: 上櫃
代碼: 700189, 名稱: 協易機統一5A購01, 市場: 上櫃
代碼: 700190, 名稱: 昇達科統一65購01, 市場: 上櫃
代碼: 700191, 名稱: 朋程統一5A購01, 市場: 上櫃
代碼: 700192, 名稱: 朋程統一6A購01, 市場: 上櫃
代碼: 700193, 名稱: 東洋統一61購01, 市場: 上櫃
代碼: 700194, 名稱: 長聖統一61購01, 市場: 上櫃
代碼: 700195, 名稱: 家登統一5A購01, 市場: 上櫃
代碼: 700196, 名稱: 振曜統一5A購01, 市場: 上櫃
代碼: 700197, 名稱: 晶宏統一5A購01, 市場: 上櫃
